,longitude,latitude,depth,county,prefmag,geo_region,well_distance,rup_area,radius,wells_qty
26008,-97.73683333,35.2435,3,Grady,2.1,7,2.139688474,0.03,0.31,0
26009,-98.09766667,36.028,5.39,Kingfisher,1.8,7,3.579847016,0.01,0.29,0
26010,-97.75983333,35.23983333,6,Grady,2,7,4.002505567,0.02,0.39,0
26011,-98.76266667,36.45566667,8.35,Major,1.9,9,3.365248082,0.02,0.41,0
26012,-98.0715,36.764,7.45,Alfalfa,1.8,9,0.919966094,0.01,0.34,1
26013,-98.093,36.03066667,6.58,Kingfisher,2.1,7,3.953406111,0.03,0.46,0
26014,-96.65966667,36.334,5,Pawnee,1.2,3,2.086341305,0,0.14,0
26015,-97.24566667,35.9615,6.75,Logan,1.6,9,4.364764563,0.01,0.26,0
26016,-96.656,35.79916667,7.37,Lincoln,1.6,3,3.46738136,0.01,0.27,0
26017,-96.87266667,36.28866667,5.64,Pawnee,1,3,1.270160031,0,0.12,0
26018,-98.095,36.02533333,6.26,Kingfisher,1.6,7,3.879732454,0.01,0.25,0
26019,-97.33783333,35.88683333,6.55,Logan,1.7,7,8.56065665,0.01,0.29,0
26020,-98.09366667,36.03,5.94,Kingfisher,1.9,7,3.901678631,0.02,0.34,0
26021,-96.91183333,36.41816667,4.84,Pawnee,1.2,3,3.102219426,0,0.14,0
26022,-96.91266667,36.41483333,5.13,Pawnee,0.5,3,3.243767483,0,0.06,0
26023,-96.8125,35.98416667,7,Payne,1.6,3,1.961713666,0.01,0.26,0
26024,-96.91383333,36.414,5.12,Pawnee,0.2,3,3.21777075,0,0.05,0
26025,-97.05316667,36.30733333,6.71,Payne,0.8,3,5.888357649,0,0.1,0
26026,-97.77633333,36.8675,6.35,Grant,1.8,9,3.288573289,0.01,0.32,0
26027,-97.77766667,36.86816667,6.57,Grant,2.2,9,3.209630152,0.03,0.51,0
26028,-96.6545,35.79883333,7.47,Lincoln,2.2,3,3.330678126,0.03,0.55,0
26029,-97.51133333,36.28066667,6.15,Noble,1.5,7,2.17028406,0.01,0.22,0
26030,-97.58433333,36.21316667,6.1,Logan,1.4,7,3.381063881,0.01,0.2,0
26031,-98.08166667,36.0305,7.37,Kingfisher,2.1,7,3.836592967,0.03,0.48,0
26032,-97.61983333,34.49366667,7,Stephens,1.4,7,0.187174807,0.01,0.21,5
26033,-96.96516667,36.32466667,5.89,Pawnee,1.1,3,2.265711344,0,0.14,0
26034,-98.07766667,36.03383333,7,Kingfisher,2.1,9,3.364796087,0.03,0.47,0
26035,-98.0965,35.9975,7,Kingfisher,1.8,7,2.723953522,0.01,0.33,0
26036,-96.31733333,35.111,3,Hughes,2.2,3,2.90008306,0.03,0.35,0
26037,-98.09433333,36.03066667,5.42,Kingfisher,1.6,7,3.833956717,0.01,0.23,0
26038,-98.07516667,36.01483333,7.14,Kingfisher,1.3,7,2.379543153,0,0.19,0
26039,-98.09516667,36.03233333,5.52,Kingfisher,1.9,7,3.744962437,0.02,0.33,0
26040,-98.0865,36.005,5.03,Kingfisher,1.5,7,2.141065934,0.01,0.2,0
26041,-96.94133333,36.4155,5.6,Pawnee,0.6,3,1.854034118,0,0.07,0
26042,-97.38766667,35.67533333,6.21,Oklahoma,1.9,9,8.693505636,0.02,0.35,0
26046,-97.73966667,35.22883333,5,Grady,1.8,7,3.672161477,0.01,0.28,0
26047,-97.75416667,35.23666667,5,Grady,2,7,3.79038524,0.02,0.35,0
26048,-96.6555,35.79883333,7.09,Lincoln,3.4,3,3.420921822,0.4,2.12,0
26049,-97.75566667,35.24083333,4,Grady,1.8,7,3.622788464,0.01,0.25,0
26050,-97.76566667,35.2445,5,Grady,2.1,7,3.705969881,0.03,0.4,0
26051,-97.74883333,35.24516667,4,Grady,1.6,7,2.839629166,0.01,0.2,0
26052,-97.756,35.24066667,3.57,Grady,2,7,3.658307585,0.02,0.3,0
26053,-97.75316667,35.24766667,5,Grady,2.5,7,3.060086652,0.06,0.63,0
26054,-97.76283333,35.2235,5,Grady,2.7,7,4.60367902,0.09,0.79,0
26055,-96.942,36.43266667,7.66,Pawnee,1.2,3,0.060378983,0,0.17,5
26056,-98.76083333,36.46133333,8.59,Major,2.6,9,2.992241416,0.08,0.93,0
26057,-97.74366667,35.2425,4,Grady,2.1,7,2.644617541,0.03,0.36,0
